"","CustomerLifetimeValue","Response","Coverage","Income","MonthlyPremiumAuto","MonthsSinceLastClaim","MonthsSincePolicyInception","NumberofPolicies","Policy","RenewOfferType","TotalClaimAmount","VehicleClass","VehicleSize"
"1",0.0213509759304681,0,1,0.25411828247367,98,2,88,1,3,0,0.0982118549741268,0,1
"2",0.0679070670255795,0,1,0.288534821616107,96,22,54,7,2,2,0.15571239328791,5,1
"3",0.066149202135419,0,1,0.67792880647323,92,0,72,3,4,2,0.20785578628368,0,2
"4",0.0426680137406124,0,0,0.702993568778068,67,16,66,3,2,1,0.0449492454008642,0,1
"5",0.0109791307813129,0,1,0.224302617497324,76,9,31,1,2,2,0.18260165580452,0,1
"6",0.145583221750561,0,1,0,131,31,49,2,3,2,0.217307440077807,3,1
"7",0.159854440136181,0,0,0.459717346295796,63,3,73,2,4,0,0.104488867765808,0,1
"8",0.0825665572003437,0,1,0,87,12,12,2,5,0,0.144307187405337,0,1
"9",0.116373406582424,0,1,0.878266870705434,94,15,26,2,3,2,0.0779577430370996,0,1
"10",0.0211828574905742,0,0,0,108,23,52,1,2,0,0.433466002732088,4,1
"11",0.0821425888527261,0,0,0,118,6,32,5,3,2,0.195739183606396,4,1
"12",0.080677560314405,0,1,0,122,2,73,5,3,0,0.380206081586691,4,1
"13",0.040198585656174,0,0,0,69,13,90,3,1,0,0.119030038342716,5,1
"14",0.0100748376938485,0,0,0.300147027935308,68,28,56,1,3,0,0.109683508368888,0,1
"15",0.248141363926934,1,0,0,102,35,48,2,5,0,0.169193637180043,4,1
"16",0.0780854134246233,1,0,0.629139536511937,69,14,94,2,5,1,0.0550557519019441,5,1
"17",0.0837177249582321,1,0,0,118,14,64,4,2,0,0.195739183606396,4,1
"18",0.296196675440564,0,1,0.439303467658855,83,2,43,2,5,0,0.0140474641995035,0,0
"19",0.0418551516385601,0,0,0.428791470379372,67,2,13,6,2,2,0.111125254372396,0,2
"20",0.2384256005927,0,2,0.707474420139827,175,4,35,2,1,0,0.414841155851975,4,1
"21",0.0864208946111185,0,0,0.399175843410248,112,16,4,5,4,0,0.194045376924571,4,1
"22",0.0682750798903746,0,0,0,69,15,73,2,3,0,0.234385706439091,0,2
"23",0.0343147194780301,0,0,0,64,20,13,4,5,1,0.0473776786500403,0,1
"24",0.188215372096912,0,0,0.853942249027315,107,7,4,2,0,3,0.177489120438278,4,1
"25",0.0510769809397554,1,1,0.27686260389474,83,13,62,9,5,1,0.137670800798749,5,1
"26",0.0677341609819208,0,0,0.521399065822506,62,17,54,2,5,1,0.042985842080404,0,1
"27",0.0754889228604146,1,0,0.714045668677049,67,29,39,2,5,1,0.098129056718791,0,1
"28",0.0177356854293472,0,1,0,91,8,60,1,4,0,0.150943574011925,0,1
"29",0.119295732450594,0,1,0.289204948940299,76,10,49,2,5,3,0.12605712423722,0,1
"30",0.00698007443277412,0,0,0.448635240695732,63,3,71,1,5,1,0.0357772067696324,0,1
"31",0.0496769720105837,0,0,0.621318050429582,74,5,39,8,2,3,0.00975352262779759,0,1
"32",0.0387817335827279,0,0,0.890059111231134,63,19,28,3,5,2,0.0804130114833258,0,2
"33",0.077009811324012,0,0,0.208229563617087,73,4,65,2,7,0,0.0714671142929711,0,1
"34",0.0211314597133976,0,1,0.507646452826037,91,21,25,1,5,3,0.150943574011925,5,1
"35",0.0729749449907699,1,1,0.584251007691461,210,7,24,1,5,1,0.348376075557924,2,2
"36",0.0151729781235349,0,1,0.588611836248887,78,20,26,1,5,1,0.0496515044843459,0,1
"37",0.090082519776335,0,0,0.426080955381522,115,10,78,3,4,1,0.228138917203726,3,1
"38",0.0421781382690347,1,0,0.68944099378882,66,32,30,7,1,1,0.106969889885455,0,1
"39",0.151183782229354,0,1,0,131,12,26,2,2,2,0.325978270760689,4,1
"40",0.0203474276214348,1,1,0.585681279443094,88,4,83,1,4,0,0.0191527220074119,0,0
"41",0.0763090347235057,0,0,0.306278192856643,68,22,86,2,2,0,0.112784351024043,0,2
"42",0.158546788477978,0,0,0.414478750962683,62,20,80,2,5,2,0.102829771114161,0,2
"43",0.103773527749159,0,1,0.342505075964433,87,14,34,2,5,0,0.144307187405337,0,1
"44",0.0103916546054887,0,0,0.166891709424791,71,9,32,1,4,0,0.0433479309378524,0,1
"45",0.0202437149307824,0,0,0,103,11,92,1,5,2,0.214943005099388,4,2
"46",0.143412071529592,0,0,0.485432232124104,115,29,79,2,5,3,0.190761893651455,4,2
"47",0.106796086372577,0,1,0.646812894449945,131,22,32,6,5,3,0.217307440077807,3,2
"48",0.0807934555790148,0,2,0.552274932237125,107,9,9,9,5,0,0.240574748395979,5,1
"49",0.00190281578923158,0,0,0,67,33,21,1,5,2,0.278618103875807,0,0
"50",0.0369679157396067,0,0,0.33311329152539,62,3,12,5,7,0,0.12224776573956,0,2
"51",0.14313086105931,0,0,0,62,19,3,2,0,3,0.154261767315219,5,1
"52",0.00468747927783386,0,0,0.232574189095928,61,20,49,1,3,1,0.101170674462514,5,1
"53",0.0122232381696144,0,0,0.304117782378652,73,29,93,1,5,0,0.121079834282278,0,1
"54",0.00438334208255225,0,0,0,65,0,51,1,2,2,0.107807061069102,0,0
"55",0.0391967284737736,0,0,0.6248587231574,63,20,63,5,5,1,0.0387198158467974,0,1
"56",0.080898130992602,0,0,0.326131965073364,111,27,79,8,2,1,0.184125507044866,4,1
"57",0.0595563431639687,0,0,0.267260779548114,65,18,64,2,4,1,0.107807061069102,0,1
"58",0.146148285537022,0,0,0.427881297446515,181,11,43,5,5,0,0.30026227266016,2,1
"59",0.142076460723234,1,0,0.114341724927736,119,11,9,2,4,1,0.197398280258043,4,2
"60",0.0442203314507829,0,1,0.60679529110531,138,18,92,1,5,2,0.191349350741611,4,1
"61",0.24108059375615,0,1,0.11540192636601,82,35,22,2,2,2,0.136011704147102,0,1
"62",0.0861769810333787,0,1,0.319970794450946,81,15,22,2,4,1,0.189490571438585,0,2
"63",0.0420725647176734,0,1,0.647182964763305,135,0,30,1,1,0,0.0266252812288504,4,1
"64",0.0820594008078759,0,0,0.218331482981767,111,6,59,3,4,1,0.184125507044866,3,1
"65",0.0790107844976093,0,0,0,119,3,54,3,5,1,0.296114531031042,4,1
"66",0.0142333350440991,0,1,0.783248817275282,76,4,24,1,4,2,0.12605712423722,0,1
"67",0.031028526525353,0,0,0.378071833648393,112,0,77,1,0,1,0.229030070207741,4,0
"68",0.00926324822279882,0,0,0,73,2,35,1,4,0,0.169570734294931,0,1
"69",0.169833832997849,0,2,0.848401196227283,196,7,4,9,0,1,0.11051026422766,4,2
"70",0.00838911094036655,0,0,0.297626549044318,65,13,55,1,4,1,0.107807061069102,0,2
"71",0.0130491666761702,0,0,0.920874966243586,74,16,1,1,1,2,0.12739454140424,0,1
"72",0.0445821223907126,1,0,0.360948580230244,72,16,31,9,5,0,0.119420737630631,0,1
"73",0.0768075462344108,0,1,0,79,19,70,2,3,0,0.196568731932219,0,2
"74",0.104195590975768,0,1,0.328272371750633,129,35,40,4,5,0,0.00891648762833351,4,0
"75",0.0424826812983568,0,0,0.396115261899761,68,2,21,8,5,0,0.0217853962760181,0,1
"76",0.117276279619173,0,2,0.273671997679559,144,23,28,8,4,0,0.146099049810081,4,1
"77",0.0661133011248152,0,0,0,69,28,28,2,4,2,0.128477687146654,0,1
"78",0.0491179756800486,0,0,0.292325541852952,74,0,83,7,8,0,0.145548060355618,5,1
"79",0.0732557099351997,0,0,0,72,9,28,2,2,0,0.253099942681633,5,2
"80",0.0372300111514901,1,0,0.25636871005491,63,27,52,7,4,1,0.121380845916013,5,1
"81",0.00612404167633062,0,0,0.262269831267941,62,23,18,1,4,0,0.102829771114161,0,1
"82",0.00704334097051958,1,0,0.957151858853182,61,16,55,1,5,1,0.0394636939518521,5,1
"83",0.0638432829967474,0,1,0.677478720956982,88,33,87,3,2,2,0.00116298976877506,0,1
"84",0.00659868846071794,0,0,0.43729308568628,61,5,84,1,4,1,0.101170674462514,0,2
"85",0.25495761374614,1,0,0.236694972044688,67,19,50,2,4,0,0.139888891700558,0,1
"86",0.00935173735966964,0,0,0.649993498764765,66,17,90,1,5,1,0.0631938957661558,0,2
"87",0.0119039148649617,1,1,0.23380442284034,78,19,18,1,3,1,0.129375317540514,0,1
"88",0.127729511293694,1,0,0.171042498074634,113,1,88,2,4,0,0.18744370034816,4,1
"89",0.261696297143547,0,0,0.899350876666567,115,14,42,2,5,3,0.146214021405944,4,1
"90",0.151451729223812,0,0,0.78060831557996,119,22,91,2,5,0,0.26235191382438,4,2
"91",0.0337424843930876,0,0,0.42540082615697,118,13,32,1,5,0,0.0693166180995559,3,1
"92",0.184359624374162,0,1,0.656324701693322,213,16,0,4,1,2,0.26484138454808,1,1
"93",0.10489702204906,0,1,0.882497674558166,88,32,22,2,3,2,0.0874335992492776,0,1
"94",0.0128625380113367,0,1,0.361738730358768,76,9,79,1,4,3,0.12605712423722,5,1
"95",0.122895525583379,0,2,0,115,19,39,2,0,0,0.29036959157248,0,1
"96",0.00712503062490557,0,0,0,71,24,32,1,2,1,0.176659572112455,0,0
"97",0.0118247322299132,0,0,0.503415648973305,72,2,11,1,5,1,0.119420737630631,0,0
"98",0.230915673849363,0,0,0,64,9,17,2,3,1,0.159239057270161,0,1
"99",0.0677143955648316,0,0,0,73,6,19,2,5,0,0.181636862067396,0,0
"100",0.481964242992199,0,0,0.636360908572629,115,10,40,2,5,3,0.10584989111302,4,1
"101",0.0287229606462642,0,0,0.144787509626829,113,11,0,1,2,2,0.18744370034816,3,1
"102",0.0791552625458645,0,2,0.63366039547514,106,16,39,9,5,0,0.175830023786631,5,0
"103",0.0799332627718982,0,0,0.671407567437813,105,33,90,4,5,0,0.117145607677229,4,2
"104",0.0351886514732318,0,0,0.149598423700503,66,24,68,8,2,0,0.109466157720749,0,2
"105",0.089091438454215,0,2,0.604344825516848,114,23,44,9,5,0,0.047530535026653,0,1
"106",0.0662192805839023,0,0,0,102,11,70,3,1,0,0.169193637180043,4,1
"107",0.0257573151320378,0,0,0,119,19,98,1,0,1,0.296114531031042,4,1
"108",0.0421781382690347,1,0,0.68944099378882,66,32,30,7,4,1,0.106969889885455,0,1
"109",0.00954251356095702,0,0,0.554895430131725,68,5,7,1,4,1,0.0407395461898714,0,1
"110",0.449467270711587,0,1,0.48418199457897,124,13,60,2,8,0,0.119286524661351,4,1
"111",0.137479297461778,0,0,0,188,35,82,7,7,0,0.467831034476512,1,1
"112",0.0814801010470735,0,1,0,122,32,6,7,5,1,0.202375570212984,4,2
"113",0.0407664581172878,1,0,0.398615736990028,66,6,4,7,1,1,0.0905007974982078,5,1
"114",0.0364194101072621,0,1,0,137,25,45,1,4,1,0.22726201998769,4,2
"115",0.0332029182238324,0,0,0.844100379072024,114,9,38,1,5,3,0.238949103971861,4,1
"116",0.0422139111531921,0,0,0.916204078774967,69,4,92,3,4,0,0.163342770621885,0,2
"117",0.00926823051539267,0,0,0.826707074344125,66,8,93,1,4,1,0.109466157720749,5,1
"118",0.242447104613577,0,0,0.644672487772677,108,5,43,2,5,1,0.0461907674727096,4,1
"119",0.00910795060660259,0,0,0.887478620937978,66,10,72,1,5,3,0.0514571764491987,0,1
